Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Preselect First Variation,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity A Bushel & A Peck Bakery,New Quantity A Bushel & A Peck Bakery,Stock Alert Enabled A Bushel & A Peck Bakery,Stock Alert Count A Bushel & A Peck Bakery,Modifier Set - Add Cold Foam,Modifier Set - Bottles,Modifier Set - Coffee Menu,Modifier Set - Cold brews,Modifier Set - Concentrates-sauces,Modifier Set - Drink Size,Modifier Set - Extra Shots,Modifier Set - Flavor Options,Modifier Set - Hot,Modifier Set - Icing Options,Modifier Set - Lotus Liquid,Modifier Set - Milk Options,Modifier Set - Produce,Modifier Set - Sauces,Modifier Set - Sourdough Artisan Loaf,Modifier Set - Special Instructions,Modifier Set - Stryker Menu,Modifier Set - Syrups
KKMUJE67TJ46YD4LI5E6Z6KJ,2X6 Ciabatta bread rolls,,2,,,"Ciabatta is an incredibly versatile bread, great for hearty breakfast sammies, dipping in flavored oil, or stacking up a sandwich.",Food,Food,,,,,hidden,Physical good,,,,N,N,N,Y,6.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
YTDBQBPIPVNTZ4KEYV6ZDVSF,2X6 Ciabatta bread rolls,,4,,,,Food,Food,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
ARTB6OHCIEY6NCFUJAI2QG6Q,2X6 Ciabatta bread rolls,,6,,,,Food,Food,,,,,hidden,Physical good,,,,,,,,18.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
N42X2FQ4STHYX3B2AXBGNYT2,3D Toys,,Small,,,"Mini - Cow, mini dragons, bats, pumpkin men
Small - Spiral Fidgets, TicTacToe
Medium, Hex shaped Fidget, Maze tube, Small dragons",Retail,Retail,,,,,unavailable,Physical good,,,,N,N,N,Y,5.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
GKG5D3JEMO4PKSASJPIIGPI3,3D Toys,,Medium,,,,Retail,Retail,,,,,unavailable,Physical good,,,,,,,,12.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
UGDTNBALZJDA2VNNOICY5WAH,3D Toys,,Large Multi color,,,,Retail,Retail,,,,,unavailable,Physical good,,,,,,,,30.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
M5ON5G4HIST36DDK76GO6LPO,6 Sourdough English Muffins,,Regular,,,"Soft, chewy texture, with the traditional sourdough flavor, perfectly paired with salted butter.",Bread,Bread,,,,,hidden,Physical good,,,,N,N,N,Y,8.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
OD6KD7PHLTGDYJJY4HE7PTFK,6 Sourdough English Muffins,,Cinnamon Raisin,,,,Bread,Bread,,,,,hidden,Physical good,,,,,,,,8.50,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4NVHCYSZAWIHN5WECBMOHCQZ,6 Sourdough English Muffins,,Cinnamon & sugar,,,,Bread,Bread,,,,,hidden,Physical good,,,,,,,,8.50,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
AGLG6I5LMRP32BKVBMGYXQ6P,Bagel BAGS OF 6,,Jalapeño and cheese,Package 1,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,N,N,N,Y,12.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2VW3MPMUEB2HL7AGYL5ZLHPN,Bagel BAGS OF 6,,Garlic and herb,Package 1,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
BHHG35ZUL2VQSDMFK7545OH2,Bagel BAGS OF 6,,Cinnamon raisin,Package 1,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
AWSKOH4LPVRQVTRJRLAZNEE4,Bagel BAGS OF 6,,Plain,Package 1,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,10.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
LOD6BLG46NGPTVZUDVI34HLW,Bagel BAGS OF 6,,Garlic Parmesan,Package 1,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
UFS73NEVXGD5AHTHA3E6KRS3,Bagel BAGS OF 6,,Everything,Package 1,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
DHTGROFXWHOIU5VIW3UUNQAN,Bagel BAGS OF 6,,Blueberry,Package 1,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
P4J2QKZ7GIAKQL2MFTBUMZV2,Bagel BAGS OF 6,,Bakers choice,Package 1,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C7IQUB2FLEUECAU55SXJCMWW,Bagel BAGS OF 6,,Cinnamon sugar,Package 1,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
